Size,Time
10.0,0.023999
10.0,0.021001
10.0,0.022
10.0,0.02
10.0,0.02
10.0,0.019
10.0,0.021001
10.0,0.020999
10.0,0.021
10.0,0.019
10.0,0.022001
10.0,0.020998
10.0,0.019
10.0,0.02
10.0,0.018
10.0,0.020001
10.0,0.021999
10.0,0.019001
10.0,0.02
10.0,0.019001
20.0,0.057999
20.0,0.055
20.0,0.058001
20.0,0.053999
20.0,0.055999
20.0,0.055969
20.0,0.056999
20.0,0.059001
20.0,0.057024
20.0,0.057002
20.0,0.054975
20.0,0.058023
20.0,0.059977
20.0,0.058999
20.0,0.058999
20.0,0.05807
20.0,0.059001
20.0,0.052999
20.0,0.057
20.0,0.058001
30.0,0.113999
30.0,0.112025
30.0,0.114975
30.0,0.11
30.0,0.112031
30.0,0.112999
30.0,0.10797
30.0,0.112023
30.0,0.112977
30.0,0.108999
30.0,0.111039
30.0,0.129962
30.0,0.112
30.0,0.112001
30.0,0.111998
30.0,0.108026
30.0,0.108005
30.0,0.10797
30.0,0.119001
30.0,0.112507
40.0,0.181999
40.0,0.187001
40.0,0.180027
40.0,0.166999
40.0,0.185004
40.0,0.183501
40.0,0.180976
40.0,0.171031
40.0,0.181994
40.0,0.179976
40.0,0.183029
40.0,0.182972
40.0,0.185999
40.0,0.182001
40.0,0.184998
40.0,0.184
40.0,0.176002
40.0,0.183998
40.0,0.168025
40.0,0.184975
50.0,0.279065
50.0,0.274
50.0,0.27551
50.0,0.27303
50.0,0.29397
50.0,0.246509
50.0,0.270025
50.0,0.271
50.0,0.242975
50.0,0.278002
50.0,0.265999
50.0,0.25
50.0,0.281002
50.0,0.268022
50.0,0.262975
50.0,0.265025
50.0,0.269976
50.0,0.271003
50.0,0.268022
50.0,0.261484
60.0,0.380998
60.0,0.379031
60.0,0.38397
60.0,0.378001
60.0,0.378028
60.0,0.362075
60.0,0.367006
60.0,0.37997
60.0,0.377029
60.0,0.339534
60.0,0.371549
60.0,0.373434
60.0,0.378973
60.0,0.367676
60.0,0.372517
60.0,0.358912
60.0,0.369035
60.0,0.356024
60.0,0.36305
60.0,0.379509
70.0,0.499611
70.0,0.496985
70.0,0.500466
70.0,0.495028
70.0,0.491187
70.0,0.503076
70.0,0.507973
70.0,0.504023
70.0,0.496181
70.0,0.501999
70.0,0.500033
70.0,0.501968
70.0,0.50303
70.0,0.485969
70.0,0.50503
70.0,0.500997
70.0,0.501511
70.0,0.502001
70.0,0.501999
70.0,0.502004
80.0,0.608596
80.0,0.643846
80.0,0.634
80.0,0.625029
80.0,0.64197
80.0,0.646507
80.0,0.638
80.0,0.640263
80.0,0.627968
80.0,0.644507
80.0,0.660521
80.0,0.647285
80.0,0.644976
80.0,0.638031
80.0,0.639995
80.0,0.647099
80.0,0.649373
80.0,0.651719
80.0,0.652655
80.0,0.647045
90.0,0.813542
90.0,0.793784
90.0,0.789451
90.0,0.795566
90.0,0.755778
90.0,0.773321
90.0,0.767928
90.0,0.817472
90.0,0.799031
90.0,0.795067
90.0,0.796057
90.0,0.793046
90.0,0.790998
90.0,0.80703
90.0,0.805971
90.0,0.793999
90.0,0.804001
90.0,0.788999
90.0,0.780032
90.0,0.73797
100.0,0.963998
100.0,0.987126
100.0,1.000025
100.0,0.980004
100.0,0.974578
100.0,0.994002
100.0,0.994885
100.0,0.979518
100.0,1.045001
100.0,0.981635
100.0,0.975961
100.0,0.978273
100.0,0.98
100.0,0.977
100.0,0.98
100.0,0.963001
100.0,0.976029
100.0,0.959999
100.0,0.979973
100.0,0.979027
110.0,1.151971
110.0,1.173
110.0,1.176
110.0,1.140001
110.0,1.179037
110.0,1.158986
110.0,1.170977
110.0,1.168025
110.0,1.174973
110.0,1.16903
110.0,1.162003
110.0,1.175968
110.0,1.176
110.0,1.097002
110.0,1.170029
110.0,1.167969
110.0,1.172024
110.0,1.181
110.0,1.167001
110.0,1.1636
120.0,1.381921
120.0,1.373971
120.0,1.372
120.0,1.38103
120.0,1.385991
120.0,1.352979
120.0,1.363
120.0,1.374
120.0,1.393001
120.0,1.376
120.0,1.380035
120.0,1.379
120.0,1.383024
120.0,1.375975
120.0,1.372001
120.0,1.368024
120.0,1.346056
120.0,1.368652
120.0,1.304678
120.0,1.389977
130.0,1.602998
130.0,1.594999
130.0,1.595533
130.0,1.605101
130.0,1.599411
130.0,1.604528
130.0,1.600035
130.0,1.608073
130.0,1.597066
130.0,1.599033
130.0,1.581999
130.0,1.62303
130.0,1.609
130.0,1.566005
130.0,1.605965
130.0,1.617026
130.0,1.562974
130.0,1.591001
130.0,1.596
130.0,1.704575
140.0,1.793074
140.0,1.870975
140.0,1.801069
140.0,1.7834
140.0,1.865512
140.0,1.846619
140.0,1.833013
140.0,1.855
140.0,1.840001
140.0,1.862999
140.0,1.797065
140.0,1.845971
140.0,1.83703
140.0,1.834999
140.0,1.846001
140.0,1.855565
140.0,1.825514
140.0,1.84797
140.0,1.852644
140.0,1.836058
150.0,2.112117
150.0,2.118013
150.0,2.11035
150.0,2.083509
150.0,1.960026
150.0,2.108999
150.0,2.106976
150.0,2.112105
150.0,2.112995
150.0,2.11597
150.0,2.052001
150.0,2.116999
150.0,2.107028
150.0,2.107971
150.0,2.10203
150.0,2.102005
150.0,2.114988
150.0,2.087369
150.0,2.115177
150.0,2.151301
160.0,2.369571
160.0,2.435921
160.0,2.394187
160.0,2.40731
160.0,2.402044
160.0,2.379337
160.0,2.392477
160.0,2.397029
160.0,2.391972
160.0,2.394114
160.0,2.373591
160.0,2.381078
160.0,2.380803
160.0,2.387954
160.0,2.405424
160.0,2.409892
160.0,2.401083
160.0,2.384005
160.0,2.368547
160.0,2.355025
170.0,2.679028
170.0,2.674762
170.0,2.682777
170.0,2.684115
170.0,2.63256
170.0,2.670227
170.0,2.666059
170.0,2.702663
170.0,2.673091
170.0,2.699032
170.0,2.682
170.0,2.656219
170.0,2.674159
170.0,2.675717
170.0,2.686123
170.0,2.670006
170.0,2.68368
170.0,2.689406
170.0,2.694837
170.0,2.697823
180.0,3.011628
180.0,2.999302
180.0,2.997181
180.0,2.981058
180.0,2.998631
180.0,3.037037
180.0,2.997016
180.0,3.002967
180.0,2.992069
180.0,2.986017
180.0,2.904946
180.0,2.997799
180.0,3.003103
180.0,3.003562
180.0,2.99186
180.0,2.989717
180.0,3.000076
180.0,2.967035
180.0,3.008364
180.0,2.984087
190.0,3.302465
190.0,3.299578
190.0,3.274098
190.0,3.314005
190.0,3.320742
190.0,3.347515
190.0,3.324847
190.0,3.274999
190.0,3.350119
190.0,3.343872
190.0,3.298129
190.0,3.27012
190.0,3.314032
190.0,3.328457
190.0,3.322497
190.0,3.340828
190.0,3.34319
190.0,3.336139
190.0,3.333123
190.0,3.321214
200.0,3.660366
200.0,3.662571
200.0,3.656029
200.0,3.674018
200.0,3.678343
200.0,3.66797
200.0,3.609907
200.0,3.658042
200.0,3.658527
200.0,3.657167
200.0,3.645674
200.0,3.644032
200.0,3.643318
200.0,3.656986
200.0,3.679209
200.0,3.685086
200.0,3.64534
200.0,3.69206
200.0,3.562
200.0,3.676
210.0,3.963029
210.0,3.984003
210.0,3.987994
210.0,4.014974
210.0,4.046103
210.0,3.999005
210.0,4.055966
210.0,4.073001
210.0,4.071023
210.0,4.178173
210.0,4.07334
210.0,4.057097
210.0,4.057391
210.0,4.027008
210.0,4.050967
210.0,4.044001
210.0,4.053
210.0,4.020027
210.0,4.127478
210.0,4.060969
220.0,4.44642
220.0,4.451186
220.0,4.404263
220.0,4.436508
220.0,4.41848
220.0,4.399397
220.0,4.387629
220.0,4.400645
220.0,4.410065
220.0,4.404279
220.0,4.564613
220.0,4.615546
220.0,4.51224
220.0,4.576321
220.0,4.436449
220.0,4.439985
220.0,4.444152
220.0,4.526589
220.0,4.52703
220.0,4.579093
230.0,4.717939
230.0,4.807
230.0,4.812
230.0,4.797025
230.0,4.817999
230.0,4.839005
230.0,4.883455
230.0,4.855403
230.0,4.821958
230.0,4.823189
230.0,4.827055
230.0,4.783976
230.0,4.98128
230.0,5.031564
230.0,4.869412
230.0,4.849145
230.0,4.881581
230.0,4.861621
230.0,4.935059
230.0,4.841717
240.0,5.25408
240.0,5.210832
240.0,5.252471
240.0,5.210635
240.0,5.190031
240.0,5.206999
240.0,5.213971
240.0,5.37897
240.0,5.374671
240.0,5.517126
240.0,5.265317
240.0,5.416552
240.0,5.348425
240.0,5.280303
240.0,5.320863
240.0,5.242679
240.0,5.26655
240.0,5.387146
240.0,5.378831
240.0,5.251028
250.0,5.682004
250.0,5.683
250.0,5.695031
250.0,5.655969
250.0,5.592031
250.0,5.640969
250.0,5.665332
250.0,5.632002
250.0,5.708333
250.0,5.821136
250.0,5.954029
250.0,5.877862
250.0,5.835522
250.0,5.635999
250.0,5.627982
250.0,5.614486
250.0,5.651971
250.0,5.635911
250.0,5.676006
250.0,5.637969
260.0,6.092591
260.0,6.100998
260.0,6.083992
260.0,6.805565
260.0,6.199
260.0,6.149975
260.0,6.072
260.0,6.076
260.0,6.201
260.0,6.125721
260.0,6.140712
260.0,6.107001
260.0,6.137976
260.0,6.125
260.0,6.123
260.0,6.119845
260.0,6.088001
260.0,6.130999
260.0,6.112026
260.0,6.121974
270.0,6.595032
270.0,6.595033
270.0,6.625643
270.0,6.60555
270.0,6.668478
270.0,6.632545
270.0,6.559868
270.0,6.659997
270.0,6.668988
270.0,6.626853
270.0,6.613138
270.0,6.592057
270.0,6.580473
270.0,6.619515
270.0,6.592003
270.0,6.632687
270.0,6.601539
270.0,6.625587
270.0,6.62672
270.0,6.545948
280.0,7.058285
280.0,7.142582
280.0,7.145123
280.0,7.066069
280.0,7.105879
280.0,7.125758
280.0,7.059464
280.0,7.035668
280.0,7.096313
280.0,7.121505
280.0,7.079465
280.0,7.075909
280.0,6.978798
280.0,7.101997
280.0,7.176139
280.0,7.172944
280.0,7.135906
280.0,7.082
280.0,7.031532
280.0,7.028187
290.0,7.537043
290.0,7.573999
290.0,7.62999
290.0,7.552546
290.0,7.560595
290.0,7.594023
290.0,7.62803
290.0,7.561057
290.0,7.560057
290.0,7.596883
290.0,7.572081
290.0,7.56027
290.0,7.579248
290.0,7.591027
290.0,7.552036
290.0,7.607985
290.0,7.511023
290.0,7.557508
290.0,7.494987
290.0,7.566573
300.0,8.061972
300.0,8.072001
300.0,8.067096
300.0,8.085958
300.0,8.079457
300.0,8.078343
300.0,8.071
300.0,8.064057
300.0,8.121726
300.0,8.118149
300.0,8.263343
300.0,8.243261
300.0,8.190406
300.0,8.184562
300.0,8.104034
300.0,8.120976
300.0,8.11703
300.0,8.071999
300.0,8.119995
300.0,8.106976
310.0,8.621001
310.0,8.641999
310.0,8.602
310.0,8.710648
310.0,8.812766
310.0,8.806656
310.0,8.710934
310.0,8.639393
310.0,8.706562
310.0,8.700627
310.0,8.669
310.0,8.621
310.0,8.957233
310.0,8.705422
310.0,8.778019
310.0,8.621137
310.0,8.586631
310.0,8.576599
310.0,8.611477
310.0,8.589024
320.0,9.146005
320.0,9.122972
320.0,9.137999
320.0,9.129031
320.0,9.141005
320.0,9.145998
320.0,9.319393
320.0,9.088518
320.0,9.193625
320.0,9.051385
320.0,9.102234
320.0,10.269743
320.0,9.417577
320.0,9.190458
320.0,9.225006
320.0,9.29299
320.0,9.343924
320.0,9.699231
320.0,9.624988
320.0,9.328216
330.0,9.881305
330.0,9.901348
330.0,9.718995
330.0,9.745025
330.0,9.853629
330.0,9.9265
330.0,9.865398
330.0,9.811649
330.0,9.637367
330.0,9.819427
330.0,9.726527
330.0,9.771741
330.0,9.990976
330.0,9.7212
330.0,9.731618
330.0,9.695906
330.0,9.697622
330.0,9.705581
330.0,9.748
330.0,9.587451
340.0,10.282025
340.0,10.258997
340.0,11.395666
340.0,10.467452
340.0,10.389295
340.0,10.314
340.0,10.31
340.0,10.315004
340.0,10.328895
340.0,10.285969
340.0,10.296027
340.0,10.300005
340.0,10.389968
340.0,10.401999
340.0,10.294025
340.0,10.257976
340.0,10.303
340.0,10.279029
340.0,10.283001
340.0,10.29897
350.0,11.795506
350.0,11.482641
350.0,11.120511
350.0,10.949044
350.0,11.084024
350.0,10.856998
350.0,10.842971
350.0,10.884032
350.0,10.986624
350.0,10.850477
350.0,11.780024
350.0,10.897297
350.0,10.881025
350.0,10.919517
350.0,11.11765
350.0,10.865
350.0,11.800105
350.0,10.897902
350.0,10.869551
350.0,10.889999
360.0,11.567001
360.0,11.558031
360.0,11.564998
360.0,11.552971
360.0,11.481
360.0,11.522998
360.0,11.443031
360.0,11.633171
360.0,11.562215
360.0,11.527319
360.0,11.457514
360.0,11.30797
360.0,11.47951
360.0,11.471029
360.0,11.484153
360.0,11.418996
360.0,11.461971
360.0,11.44144
360.0,11.469002
360.0,11.507998
370.0,12.121029
370.0,12.17299
370.0,12.13501
370.0,12.186971
370.0,12.151001
370.0,12.063998
370.0,12.07503
370.0,12.633511
370.0,12.118026
370.0,12.027004
370.0,12.08497
370.0,12.008535
370.0,12.071
370.0,12.088551
370.0,12.11797
370.0,12.116001
370.0,12.048999
370.0,12.023041
370.0,12.103683
370.0,12.163024
380.0,12.795005
380.0,12.764632
380.0,12.751873
380.0,12.771243
380.0,12.723007
380.0,12.135473
380.0,12.232932
380.0,12.130724
380.0,12.130299
380.0,12.050553
380.0,12.120029
380.0,12.114502
380.0,12.06602
380.0,12.121611
380.0,12.131644
380.0,12.052193
380.0,12.103246
380.0,12.780779
380.0,13.14189
380.0,13.065332
390.0,13.724489
390.0,13.83797
390.0,13.475357
390.0,13.356973
390.0,13.382659
390.0,13.370182
390.0,13.40026
390.0,13.39121
390.0,13.391557
390.0,13.383603
390.0,13.371884
390.0,13.272214
390.0,13.374682
390.0,13.330551
390.0,13.361341
390.0,13.451705
390.0,13.846127
390.0,13.77556
390.0,13.554284
390.0,13.374968
400.0,13.962106
400.0,14.069997
400.0,14.107109
400.0,14.049577
400.0,14.214375
400.0,14.057973
400.0,14.066775
400.0,13.99732
400.0,14.08269
400.0,13.880086
400.0,14.122572
400.0,14.383355
400.0,14.137739
400.0,14.036988
400.0,14.342629
400.0,13.758268
400.0,14.033116
400.0,14.068124
400.0,14.41267
400.0,13.956071
410.0,14.946011
410.0,14.883488
410.0,14.684427
410.0,14.641529
410.0,14.31454
410.0,14.235601
410.0,14.210003
410.0,14.193858
410.0,14.193368
410.0,14.181406
410.0,14.485282
410.0,14.276356
410.0,14.277555
410.0,14.256841
410.0,14.243157
410.0,14.153865
410.0,14.266221
410.0,14.22032
410.0,14.211429
410.0,14.210911
420.0,15.139501
420.0,15.017893
420.0,15.097994
420.0,15.241054
420.0,14.977765
420.0,15.132302
420.0,15.539677
420.0,15.34219
420.0,15.461868
420.0,15.31402
420.0,15.241616
420.0,15.262008
420.0,15.284674
420.0,15.216169
420.0,15.285854
420.0,15.618783
420.0,15.664297
420.0,15.385314
420.0,15.275136
420.0,15.178913
430.0,15.81539
430.0,15.96678
430.0,16.162356
430.0,15.832486
430.0,15.638182
430.0,15.581338
430.0,15.614248
430.0,15.516651
430.0,15.575984
430.0,15.545225
430.0,15.888789
430.0,16.385347
430.0,16.390784
430.0,16.343275
430.0,16.037234
430.0,16.083923
430.0,16.31762
430.0,16.305803
430.0,16.298819
430.0,16.280566
440.0,17.065648
440.0,17.015086
440.0,17.26512
440.0,17.001328
440.0,16.856739
440.0,16.872507
440.0,16.807626
440.0,16.840962
440.0,16.901974
440.0,16.798102
440.0,16.864359
440.0,16.850862
440.0,16.897627
440.0,16.907415
440.0,16.853041
440.0,16.680464
440.0,16.894432
440.0,17.000974
440.0,17.064154
440.0,16.840949
450.0,17.536624
450.0,17.586721
450.0,17.564054
450.0,17.544358
450.0,17.571069
450.0,17.63805
450.0,17.633315
450.0,17.624322
450.0,17.788489
450.0,17.406799
450.0,17.533459
450.0,17.54152
450.0,17.561399
450.0,17.682787
450.0,17.408867
450.0,17.354827
450.0,17.4124
450.0,17.525527
450.0,17.442646
450.0,17.468062
460.0,18.305374
460.0,18.215921
460.0,18.188624
460.0,18.258942
460.0,18.241564
460.0,18.238418
460.0,18.286513
460.0,18.36455
460.0,18.474295
460.0,18.343712
460.0,18.236777
460.0,18.299429
460.0,18.461152
460.0,18.445946
460.0,18.431269
460.0,18.22153
460.0,18.121413
460.0,18.097773
460.0,18.01171
460.0,17.995609
470.0,18.744397
470.0,18.846067
470.0,18.934399
470.0,18.457614
470.0,19.402561
470.0,19.041441
470.0,19.061966
470.0,18.890648
470.0,18.984887
470.0,18.647875
470.0,18.730896
470.0,18.910471
470.0,18.75626
470.0,18.561911
470.0,18.632641
470.0,18.64802
470.0,18.91471
470.0,18.720592
470.0,18.919742
470.0,18.57733
480.0,19.406553
480.0,19.645474
480.0,19.598806
480.0,19.616335
480.0,19.787094
480.0,20.200952
480.0,19.800433
480.0,19.999365
480.0,20.110807
480.0,19.560882
480.0,19.316774
480.0,19.337005
480.0,19.352146
480.0,19.318572
480.0,19.407049
480.0,19.414969
480.0,19.84107
480.0,19.807881
480.0,19.756341
480.0,19.393296
490.0,20.330211
490.0,20.419535
490.0,20.228855
490.0,20.423235
490.0,20.379487
490.0,20.249689
490.0,20.318361
490.0,20.309745
490.0,20.565206
490.0,20.34969
490.0,20.417843
490.0,20.430698
490.0,20.517131
490.0,20.313842
490.0,20.103817
490.0,20.272378
490.0,20.290035
490.0,20.241931
490.0,20.476069
490.0,20.939237
